,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
17,AME,19039,2013,1.88,1.58,1.81,1.8,12,0.03,1.7225098078715,0.0248031606166708,0.00639999999999998,0.00489999999999998
18,AMGN,19039,2013,6.51,5.33,6.05,6.07,28,0.11,5.88798278189776,0.386905419615649,0.1936,0.2116
19,APC,19039,2013,3.52,3.37,3.46,3.51,29,0.71,3.87394637980695,0.125278039778449,0.000100000000000005,0.00360000000000001
20,ADI,19347,2013,2.16,2.13,2.15,2.13,27,0.11,2.43862170421279,0.0776300540584412,0.000900000000000015,0.000100000000000005
21,AXE,19039,2013,5.47,5.71,6.26,6.25,10,0.21,5.01699927011862,0.205209661273061,0.6084,0.6241
22,APA,19039,2013,9.48,11.83,12.29,12.57,28,1.26,11.6648498941102,4.77356905979323,9.5481,7.89609999999999
23,APOL,19284,2013,3.16,3.56,2.78,2.75,19,0.24,2.90771608477956,0.063647173878952,0.1681,0.1444
24,AAPL,19312,2013,5.6786,6.3071,7.15,7.12,55,0.53,7.35564853925467,2.81249180301624,2.07763396,2.16501796
25,AMAT,19312,2013,0.59,0.75,0.66,0.66,19,0.16,0.733421596330254,0.0205697542939184,0.00490000000000001,0.00490000000000001
26,ATR,19039,2013,2.41,2.65,2.92,2.9,10,0.11,2.60061590938154,0.036334424909351,0.2401,0.2601
27,ADM,19284,2013,2.3,2.25,2.09,2.09,1,NA,3.74742689934348,2.09504462894308,0.0441,0.0441
28,ARW,19039,2013,4.4,5.19,4.83,4.93,14,0.46,4.9617514142565,0.315564651419182,0.280899999999999,0.1849
29,ATML,19039,2013,0.32,0.68,0.42,0.43,13,0.06,0.507945232860068,0.0353234105548253,0.0121,0.01
30,ATO,19312,2013,2.53,2.11,2.45,2.45,9,0.05,2.74799425774421,0.0475214964094473,0.00639999999999994,0.00639999999999994
31,ADSK,19067,2013,1.94,1.74,2.05,2.05,20,0.04,1.89039204616738,0.00246094908345966,0.0121,0.0121
32,ALV,19039,2013,5.82,6.65,6.44,6.39,18,0.54,7.84154673513861,4.08665120234958,0.324899999999999,0.3844
33,AZO,17429,2008,10.04,8.53,9.63,9.69,12,0.26,9.10882078377583,0.867094732727862,0.1225,0.168099999999999
34,AVY,19039,2013,2.08,2.16,1.99,2,5,0.02,2.80634670137217,0.527579530594228,0.00640000000000001,0.00810000000000002
